# A Mapping between WordNet 3.0 and 3.1 synset offsets
# HyperDic hyper-dictionary, http://hyperdic.net
# (c) 2012 by Eric Kafe
#
# This mapping is released under the CC BY 3.0 license
# http://creativecommons.org/licenses/by/3.0/
#=====================================================
#PoS	WordNet 3.0	WordNet 3.1
a	00130701	00131773
a	00130778	00131850
a	00131018	00132090
a	00131176	00132248
a	00131297	00132369
a	00131426	00132498
a	00131692	00132764
a	00131863	00132935
a	00132040	00133111
a	00132127	00133198
a	00132385	00133456
a	00132754	00133825
a	00132849	00133920
a	00133065	00134136
a	00133259	00134330
a	00133335	00134406
a	00133417	00134488
a	00133669	00134740
a	00133851	00134922
a	00134060	00135131
a	00134251	00135322
a	00134401	00135472
a	00134562	00135633
a	00134701	00135772
a	00135092	00136163
a	00135193	00136264
a	00135342	00136413
a	00135455	00136526
a	00135718	00136789
a	00136081	00137152
a	00136185	00137256
a	00136354	00137425
a	00136589	00137678
a	00136727	00137816
a	00136884	00137973
a	00137120	00138209
a	00137277	00138366
a	00137373	00138641
a	00137501	00138769
a	00137641	00138909
a	00137725	00138993
a	00137943	00139211
a	00138169	00139437
a	00138314	00139582
a	00138622	00139890
a	00138782	00140050
a	00138912	00140180
a	00139126	00140394
a	00139344	00140612
a	00139492	00140760
a	00139702	00140970
a	00139870	00141138
a	00139990	00141258
a	00140075	00141343
a	00140233	00141501
a	00140437	00141705
a	00140542	00141810
a	00140880	00142148
a	00140989	00142257
a	00141111	00142379
a	00141316	00142584
a	00141429	00142697
a	00141522	00142790
a	00141647	00142915
a	00141746	00143014
a	00141818	00143086
a	00141947	00143215
a	00142040	00143308
a	00142270	00143538
a	00142407	00143675
a	00142622	00143890
a	00142704	00143972
a	00142825	00144093
a	00142917	00144185
a	00143201	00144469
a	00143294	00144562
a	00143376	00144644
a	00143516	00144784
a	00143589	00144857
a	00143854	00145122
a	00144020	00145288
a	00144102	00145370
a	00144244	00145512
a	00144408	00145676
a	00144510	00145778
a	00144598	00145866
a	00144728	00145996
a	00144877	00146145
a	00145083	00146351
a	00145628	00146896
a	00145706	00146974
a	00145805	00147073
a	00145883	00147151
a	00145995	00147263
a	00146128	00147396
a	00146210	00147478
a	00146430	00147698
a	00146501	00147769
a	00146609	00147877
a	00146693	00147961
a	00146786	00148054
a	00146883	00148151
a	00147052	00148320
a	00147160	00148428
a	00147397	00148665
a	00147528	00148796
a	00147659	00148927
a	00147734	00149002
a	00148078	00149346
a	00148642	00149910
a	00148852	00150120
a	00149120	00150388
a	00149262	00150530
a	00149461	00150729
a	00149686	00150954
a	00149861	00151129
a	00150055	00151323
a	00150202	00151470
a	00150505	00151773
a	00150835	00152103
a	00150936	00152204
a	00151105	00152373
a	00151530	00152798
a	00151661	00152929
a	00151855	00153123
a	00152004	00153272
a	00152104	00153372
a	00152285	00153553
a	00152629	00153897
a	00152784	00154052
a	00152896	00154164
a	00153083	00154351
a	00153239	00154507
a	00153410	00154678
a	00153545	00154813
a	00153652	00154919
a	00153789	00155056
a	00153898	00155165
a	00154163	00155430
a	00154270	00155537
a	00154583	00155850
a	00154837	00156104
a	00154965	00156232
a	00155144	00156411
a	00155720	00156987
a	00155886	00157153
a	00156101	00157368
a	00156440	00157706
a	00156575	00157841
a	00156839	00158105
a	00157080	00158346
a	00157268	00158534
a	00157389	00158655
a	00157659	00158924
a	00157849	00159114
a	00157925	00159190
a	00158110	00159375
a	00158238	00159503
a	00158332	00159597
a	00158407	00159672
a	00158546	00159811
a	00158701	00159966
a	00158864	00160129
a	00158961	00160226
a	00159106	00160371
a	00159267	00160532
a	00159381	00160646
a	00159498	00160763
a	00159735	00161000
a	00159975	00161240
a	00160144	00161409
a	00160288	00161553
a	00160425	00161690
a	00160573	00161838
a	00160768	00162033
a	00160957	00162222
a	00161065	00162330
a	00161170	00162435
a	00161276	00162541
a	00161431	00162696
a	00161684	00162949
a	00161878	00163143
a	00161993	00163258
a	00162083	00163348
a	00162248	00163513
a	00162386	00163651
a	00162661	00163926
a	00162863	00164128
a	00162990	00164255
a	00163315	00164580
a	00163480	00164745
a	00163592	00164857
a	00163948	00165213
a	00164308	00165570
a	00164462	00165724
a	00164598	00165860
a	00164681	00165943
a	00164863	00166125
a	00165171	00166433
a	00165458	00166720
a	00165585	00166847
a	00165766	00167028
a	00165943	00167205
a	00166146	00167408
a	00166753	00168015
a	00167077	00168339
a	00167278	00168540
a	00167520	00168782
a	00167671	00168933
a	00167829	00169091
a	00168039	00169301
a	00168188	00169450
a	00168551	00169813
a	00168694	00169956
a	00168820	00170082
a	00168910	00170172
a	00169056	00170318
a	00169164	00170426
a	00169432	00170694
a	00169692	00170954
a	00169826	00171088
a	00169955	00171217
a	00170156	00171417
a	00170358	00171619
a	00170717	00171978
a	00170847	00172108
a	00171044	00172305
a	00171292	00172553
a	00171447	00172708
a	00171590	00172851
a	00171872	00173133
a	00172172	00173433
a	00172308	00173569
a	00172452	00173713
a	00172562	00173823
a	00172774	00174035
a	00172993	00174254
a	00173220	00174481
a	00173391	00174652
a	00173694	00174955
a	00173764	00175025
a	00174056	00175317
a	00174150	00175411
a	00174243	00175504
a	00174379	00175640
a	00174719	00175980
a	00174879	00176140
a	00174983	00176244
a	00175123	00176384
a	00175300	00176561
a	00175435	00176696
a	00175528	00176789
a	00175719	00176980
a	00175887	00177148
a	00176150	00177411
a	00176387	00177648
a	00176676	00177959
a	00176838	00178121
a	00176991	00178274
a	00177186	00178468
a	00177547	00178829
a	00177834	00179134
a	00177963	00179263
a	00178126	00179426
a	00178464	00179764
a	00178575	00179875
a	00178811	00180111
a	00179035	00180335
a	00179190	00180490
a	00179315	00180615
a	00179486	00180786
a	00179676	00180976
a	00179815	00181115
a	00179925	00181225
a	00180211	00181511
a	00180359	00181659
a	00180496	00181796
a	00180655	00181955
a	00180835	00182135
a	00181030	00182330
a	00181162	00182462
a	00181264	00182564
a	00181373	00182673
a	00181476	00182776
a	00181904	00183204
a	00182086	00183386
a	00182225	00183525
a	00182418	00183718
a	00182510	00183810
a	00182639	00183939
a	00182718	00184018
a	00182843	00184143
a	00182961	00184261
a	00183053	00184353
a	00183675	00184975
a	00183832	00185132
a	00183932	00185232
a	00184075	00185375
a	00184229	00185529
a	00184363	00185663
a	00184543	00185843
a	00184676	00185976
a	00184792	00186092
a	00185020	00186320
a	00185160	00186460
a	00185363	00186663
a	00185509	00186809
a	00185607	00186907
a	00185759	00187059
a	00185921	00187221
a	00186193	00187681
a	00186490	00187978
a	00186616	00188104
a	00186925	00188413
a	00187049	00188537
a	00187176	00188664
a	00187443	00188931
a	00187590	00189078
a	00187736	00189224
a	00188058	00189546
a	00188155	00189643
a	00188436	00189924
a	00188738	00190226
a	00188917	00190405
a	00189017	00190505
a	00189253	00190741
a	00189511	00190999
a	00189580	00191068
a	00189833	00191321
a	00190023	00191511
a	00190115	00191603
a	00190653	00192141
a	00190960	00192448
a	00191265	00192753
a	00191603	00193091
a	00192026	00193532
a	00192332	00193933
a	00192523	00194124
a	00192756	00194357
a	00192880	00194481
a	00193015	00194616
a	00193367	00194968
a	00193480	00195081
a	00193799	00195400
a	00194357	00195958
a	00194817	00196418
a	00194924	00196525
a	00195191	00196783
a	00195383	00196975
a	00195684	00197276
a	00196122	00197714
a	00196233	00197825
a	00196312	00197904
a	00196449	00198041
a	00196560	00198152
a	00196664	00198256
a	00196799	00198391
a	00196934	00198526
a	00197151	00198743
a	00197247	00198839
a	00197319	00198911
a	00197447	00199039
a	00197576	00199168
a	00197773	00199365
a	00197891	00199483
a	00198147	00199739
a	00198383	00199975
a	00198610	00200202
a	00198757	00200349
a	00198904	00200496
a	00199114	00200706
a	00199463	00201055
a	00199569	00201161
a	00199811	00201403
a	00200026	00201618
a	00200258	00201850
a	00200431	00202023
a	00200529	00202121
a	00200603	00202195
a	00200760	00202352
a	00200854	00202446
a	00200979	00202571
a	00201130	00202722
a	00201259	00202851
a	00201354	00202946
a	00201722	00203314
a	00201802	00203394
a	00201961	00203553
a	00202095	00203687
a	00202250	00203842
a	00202411	00204003
a	00202508	00204100
a	00202677	00204269
a	00202772	00204364
a	00202875	00204467
a	00203030	00204622
a	00203123	00204715
a	00203237	00204829
a	00203495	00205087
a	00203614	00205206
a	00203774	00205366
a	00203917	00205509
a	00204077	00205669
a	00204249	00205841
a	00204491	00206083
a	00204779	00206371
a	00205033	00206625
a	00205150	00206742
a	00205295	00206887
a	00205696	00207288
a	00206003	00207595
a	00206127	00207719
a	00206205	00207797
a	00206317	00207909
a	00206403	00207995
a	00206627	00208219
a	00206750	00208342
a	00206900	00208492
a	00207034	00208626
a	00207133	00208725
a	00207226	00208818
a	00207305	00208897
a	00207389	00208981
a	00207467	00209059
a	00207547	00209139
a	00207706	00209298
a	00207809	00209401
a	00207887	00209479
a	00207961	00209553
a	00208052	00209644
a	00208150	00209742
a	00208229	00209821
a	00208447	00210039
a	00208613	00210205
a	00208749	00210341
a	00208872	00210464
a	00208946	00210538
a	00209079	00210671
a	00209253	00210845
a	00209390	00210982
a	00209550	00211142
a	00209620	00211212
a	00209781	00211373
a	00209916	00211508
a	00209988	00211580
a	00210079	00211671
a	00210212	00211804
a	00210281	00211873
a	00210371	00211963
a	00210446	00212038
a	00210848	00212440
a	00211026	00212618
a	00211092	00212684
a	00211221	00212813
a	00211370	00212962
a	00211444	00213036
a	00211564	00213156
a	00211735	00213327
a	00211827	00213419
a	00211916	00213508
a	00212057	00213649
a	00212173	00213765
a	00212949	00214541
a	00213071	00214663
a	00213172	00214764
a	00213387	00214979
a	00213516	00215108
a	00213610	00215202
a	00213814	00215406
a	00213933	00215525
a	00214001	00215593
a	00214165	00215757
a	00214323	00215915
a	00214461	00216053
a	00214640	00216232
a	00214812	00216404
a	00214907	00216499
a	00215087	00216679
a	00215257	00216849
a	00215344	00216936
a	00215468	00217060
a	00215564	00217156
a	00215654	00217246
a	00215745	00217337
a	00215834	00217426
a	00215929	00217521
a	00216003	00217595
a	00216079	00217671
a	00216155	00217747
a	00216308	00217900
a	00216420	00218012
a	00216560	00218152
a	00216668	00218260
a	00216858	00218450
a	00217075	00218667
a	00217183	00218775
a	00217297	00218889
a	00217428	00219020
a	00217563	00219155
a	00217728	00219320
a	00218305	00219897
a	00218440	00220032
a	00218673	00220265
a	00218837	00220429
a	00218950	00220542
a	00219389	00220981
a	00219705	00221297
a	00219809	00221401
a	00219924	00221516
a	00220082	00221674
a	00220241	00221833
a	00220341	00221933
a	00220502	00222094
a	00220600	00222192
a	00220739	00222331
a	00220956	00222548
a	00221318	00222910
a	00221469	00223061
a	00221553	00223145
a	00221627	00223219
a	00221934	00223526
a	00222147	00223739
a	00222272	00223864
a	00222449	00224041
a	00222543	00224135
a	00222662	00224254
a	00222775	00224367
a	00222873	00224465
a	00222969	00224561
a	00223119	00224711
a	00223220	00224812
a	00223375	00224967
a	00223504	00225096
a	00223582	00225174
a	00223683	00225275
a	00223802	00225394
a	00224031	00225623
a	00224166	00225758
a	00224366	00225958
a	00224515	00226107
a	00224731	00226323
a	00225099	00226691
a	00225408	00227000
a	00225564	00227156
a	00225821	00227413
a	00225912	00227504
a	00226105	00227697
a	00226339	00227931
a	00226434	00228026
a	00226535	00228127
a	00226618	00228210
a	00226891	00228483
a	00227003	00228595
a	00227301	00228893
a	00227507	00229099
a	00228025	00229617
a	00228173	00229765
a	00228294	00229886
a	00228485	00230077
a	00228645	00230237
a	00228876	00230468
a	00228967	00230559
a	00229130	00230722
a	00229227	00230819
a	00229371	00230963
a	00229487	00231079
